Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-23,06:00,13:30,17:30,18:45,20:15
,02-Oct-23,06:00,13:30,17:30,18:43,20:15
,03-Oct-23,06:00,13:30,17:30,18:41,20:15
,04-Oct-23,06:00,13:30,17:30,18:38,20:15
,05-Oct-23,06:00,13:30,17:30,18:36,20:15
,06-Oct-23,06:00,13:30,17:30,18:34,20:15
,07-Oct-23,06:00,13:30,17:30,18:32,20:15
,08-Oct-23,06:15,13:30,16:45,18:29,20:15
,09-Oct-23,06:15,13:30,16:45,18:27,20:15
,10-Oct-23,06:15,13:30,16:45,18:25,20:15
,11-Oct-23,06:15,13:30,16:45,18:23,20:00
,12-Oct-23,06:15,13:30,16:45,18:21,20:00
,13-Oct-23,06:15,13:30,16:45,18:18,20:00
,14-Oct-23,06:30,13:30,16:30,18:16,20:00
,15-Oct-23,06:30,13:30,16:30,18:14,20:00
,16-Oct-23,06:30,13:30,16:30,18:12,20:00
,17-Oct-23,06:30,13:30,16:30,18:10,20:00
,18-Oct-23,06:30,13:30,16:30,18:08,20:00
,19-Oct-23,06:30,13:30,16:30,18:06,19:45
,20-Oct-23,06:30,13:30,16:30,18:03,19:45
,21-Oct-23,06:30,13:30,16:30,18:01,19:45
,22-Oct-23,06:45,13:30,16:30,17:59,19:45
,23-Oct-23,06:45,13:30,16:30,17:57,19:45
,24-Oct-23,06:45,13:30,16:30,17:55,19:45
,25-Oct-23,06:45,13:30,16:30,17:53,19:45
,26-Oct-23,06:45,13:30,16:30,17:51,19:45
,27-Oct-23,06:45,13:30,16:30,17:49,19:45
,28-Oct-23,05:45,13:30,16:30,17:47,19:45
,29-Oct-23,05:45,13:15,15:30,16:45,19:30
,30-Oct-23,05:45,13:15,15:30,16:43,19:30
,31-Oct-23,05:45,13:15,15:30,16:42,19:30
