Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jan-22,06:46,12:45,14:45,16:12,19:30
,02-Jan-22,06:46,12:45,14:45,16:13,19:30
,03-Jan-22,06:46,12:45,14:45,16:15,19:30
,04-Jan-22,06:46,12:45,14:45,16:16,19:30
,05-Jan-22,06:45,12:45,14:45,16:17,19:30
,06-Jan-22,06:45,12:45,14:45,16:18,19:30
,07-Jan-22,06:45,13:00,14:45,16:19,19:30
,08-Jan-22,06:44,12:45,14:45,16:21,19:30
,09-Jan-22,06:44,12:45,14:45,16:22,19:30
,10-Jan-22,06:43,12:45,14:45,16:24,19:30
,11-Jan-22,06:43,12:45,14:45,16:25,19:30
,12-Jan-22,06:42,12:45,15:00,16:26,19:30
,13-Jan-22,06:41,12:45,15:00,16:28,19:30
,14-Jan-22,06:40,13:00,15:00,16:29,19:30
,15-Jan-22,06:40,12:45,15:00,16:31,19:30
,16-Jan-22,06:39,12:45,15:00,16:32,19:30
,17-Jan-22,06:38,12:45,15:00,16:34,19:30
,18-Jan-22,06:37,12:45,15:00,16:36,19:30
,19-Jan-22,06:36,12:45,15:00,16:37,19:30
,20-Jan-22,06:35,12:45,15:00,16:39,19:30
,21-Jan-22,06:34,13:00,15:00,16:41,19:30
,22-Jan-22,06:33,12:45,15:15,16:42,19:30
,23-Jan-22,06:31,12:45,15:15,16:44,19:30
,24-Jan-22,06:30,12:45,15:15,16:46,19:30
,25-Jan-22,06:29,12:45,15:15,16:48,19:30
,26-Jan-22,06:28,12:45,15:15,16:49,19:30
,27-Jan-22,06:26,12:45,15:15,16:51,19:30
,28-Jan-22,06:25,13:00,15:15,16:53,19:30
,29-Jan-22,06:23,12:45,15:15,16:55,19:30
,30-Jan-22,06:22,12:45,15:15,16:56,19:30
,31-Jan-22,06:21,12:45,15:15,16:58,19:30
