Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-23,05:15,13:30,18:30,19:51,21:15
,02-Apr-23,05:12,13:30,18:30,19:53,21:15
,03-Apr-23,05:13,13:30,18:30,19:54,21:15
,04-Apr-23,05:10,13:30,18:30,19:56,21:15
,05-Apr-23,05:05,13:30,18:30,19:58,21:15
,06-Apr-23,05:02,13:30,18:30,20:01,21:15
,07-Apr-23,05:00,13:30,18:45,20:03,21:30
,08-Apr-23,04:57,13:30,18:45,20:04,21:30
,09-Apr-23,04:55,13:30,18:45,20:06,21:30
,10-Apr-23,04:52,13:30,18:45,20:08,21:30
,11-Apr-23,04:50,13:30,18:45,20:09,21:30
,12-Apr-23,04:47,13:30,18:45,20:11,21:30
,13-Apr-23,04:45,13:30,18:45,20:13,21:30
,14-Apr-23,04:43,13:30,19:00,20:14,21:45
,15-Apr-23,04:40,13:30,19:00,20:16,21:45
,16-Apr-23,04:37,13:30,19:00,20:18,21:45
,17-Apr-23,04:35,13:30,19:00,20:19,21:45
,18-Apr-23,04:32,13:30,19:00,20:21,21:45
,19-Apr-23,04:30,13:30,19:00,20:23,21:45
,20-Apr-23,04:28,13:30,19:00,20:24,21:45
,21-Apr-23,05:00,13:30,19:00,20:16,21:45
,22-Apr-23,05:00,13:30,19:00,20:18,21:45
,23-Apr-23,05:00,13:30,19:00,20:19,21:45
,24-Apr-23,05:00,13:30,19:00,20:21,21:45
,25-Apr-23,05:00,13:30,19:00,20:23,21:45
,26-Apr-23,05:00,13:30,19:00,20:24,21:45
,27-Apr-23,05:00,13:30,19:00,20:26,21:45
,28-Apr-23,04:45,13:30,19:15,20:28,22:00
,29-Apr-23,04:45,13:30,19:15,20:29,22:00
,30-Apr-23,04:45,13:30,19:15,20:31,22:00
