Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-22,05:45,13:30,18:00,19:41,21:45
,02-Apr-22,05:25,13:30,18:00,19:53,21:45
,03-Apr-22,05:23,13:30,18:00,19:55,21:45
,04-Apr-22,05:21,13:30,18:00,19:56,21:45
,05-Apr-22,05:18,13:30,18:00,19:58,21:45
,06-Apr-22,05:16,13:30,18:00,20:00,21:45
,07-Apr-22,05:14,13:30,18:00,20:01,21:45
,08-Apr-22,05:12,13:30,18:00,20:03,21:45
,09-Apr-22,05:09,13:30,18:15,20:05,21:45
,10-Apr-22,05:07,13:30,18:15,20:06,21:45
,11-Apr-22,05:05,13:30,18:15,20:08,21:45
,12-Apr-22,05:03,13:30,18:15,20:10,21:45
,13-Apr-22,05:00,13:30,18:15,20:11,21:45
,14-Apr-22,04:57,13:30,18:15,20:13,21:45
,15-Apr-22,04:55,13:30,18:15,20:15,21:45
,16-Apr-22,04:52,13:30,18:15,20:16,22:00
,17-Apr-22,04:49,13:30,18:15,20:18,22:00
,18-Apr-22,04:47,13:30,18:15,20:20,22:00
,19-Apr-22,04:45,13:30,18:15,20:21,22:00
,20-Apr-22,04:42,13:30,18:15,20:23,22:00
,21-Apr-22,04:39,13:30,18:15,20:25,22:00
,22-Apr-22,04:37,13:30,18:15,20:26,22:00
,23-Apr-22,04:34,13:30,18:15,20:28,22:00
,24-Apr-22,04:31,13:30,18:30,20:30,22:00
,25-Apr-22,04:28,13:30,18:30,20:31,22:00
,26-Apr-22,04:25,13:30,18:30,20:33,22:00
,27-Apr-22,04:23,13:30,18:30,20:35,22:00
,28-Apr-22,04:20,13:30,18:30,20:36,22:00
,29-Apr-22,04:18,13:30,18:30,20:38,22:00
,30-Apr-22,04:16,13:30,18:30,20:40,22:15
