Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Aug-23,04:15,13:30,18:45,20:56,22:30
,02-Aug-23,04:15,13:30,18:45,20:55,22:30
,03-Aug-23,04:15,13:30,18:45,20:53,22:30
,04-Aug-23,04:15,13:30,18:45,20:51,22:30
,05-Aug-23,04:30,13:30,18:45,20:49,22:15
,06-Aug-23,04:30,13:30,18:45,20:48,22:15
,07-Aug-23,04:30,13:30,18:45,20:46,22:15
,08-Aug-23,04:30,13:30,18:45,20:44,22:15
,09-Aug-23,04:30,13:30,18:45,20:42,22:15
,10-Aug-23,04:30,13:30,18:45,20:40,22:15
,11-Aug-23,04:30,13:30,18:45,20:38,22:15
,12-Aug-23,04:30,13:30,18:30,20:36,22:00
,13-Aug-23,04:30,13:30,18:30,20:35,22:00
,14-Aug-23,04:30,13:30,18:30,20:33,22:00
,15-Aug-23,04:30,13:30,18:30,20:31,22:00
,16-Aug-23,04:30,13:30,18:30,20:29,22:00
,17-Aug-23,04:30,13:30,18:30,20:27,22:00
,18-Aug-23,04:30,13:30,18:30,20:25,22:00
,19-Aug-23,04:45,13:30,18:30,20:23,21:45
,20-Aug-23,04:45,13:30,18:30,20:20,21:45
,21-Aug-23,04:45,13:30,18:30,20:18,21:45
,22-Aug-23,04:45,13:30,18:30,20:16,21:45
,23-Aug-23,04:45,13:30,18:30,20:14,21:45
,24-Aug-23,04:45,13:30,18:30,20:12,21:45
,25-Aug-23,04:45,13:30,18:30,20:10,21:45
,26-Aug-23,05:00,13:30,18:15,20:08,21:30
,27-Aug-23,05:00,13:30,18:15,20:06,21:30
,28-Aug-23,05:00,13:30,18:15,20:03,21:30
,29-Aug-23,05:00,13:30,18:15,20:02,21:30
,30-Aug-23,05:00,13:30,18:15,19:59,21:30
,31-Aug-23,05:00,13:30,18:15,19:57,21:30
