Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Apr-22,05:45,13:30,18:00,19:41,21:30
,02-Apr-22,05:18,13:30,18:15,19:53,21:30
,03-Apr-22,05:16,13:30,18:15,19:55,21:30
,04-Apr-22,05:13,13:30,18:15,19:56,21:30
,05-Apr-22,05:11,13:30,18:15,19:58,21:30
,06-Apr-22,05:08,13:30,18:15,20:00,21:30
,07-Apr-22,05:06,13:30,18:15,20:01,21:30
,08-Apr-22,05:03,13:30,18:15,20:03,21:30
,09-Apr-22,05:01,13:30,18:45,20:05,21:30
,10-Apr-22,04:58,13:30,18:45,20:06,21:30
,11-Apr-22,04:56,13:30,18:45,20:08,21:30
,12-Apr-22,04:53,13:30,18:45,20:10,21:30
,13-Apr-22,04:51,13:30,18:45,20:11,21:45
,14-Apr-22,04:48,13:30,18:45,20:13,21:45
,15-Apr-22,04:46,13:30,18:45,20:15,21:45
,16-Apr-22,04:43,13:30,18:45,20:16,21:45
,17-Apr-22,04:41,13:30,18:45,20:18,21:45
,18-Apr-22,04:38,13:30,18:45,20:20,21:45
,19-Apr-22,04:36,13:30,18:45,20:21,21:45
,20-Apr-22,04:34,13:30,18:45,20:23,21:45
,21-Apr-22,04:31,13:30,18:45,20:25,21:45
,22-Apr-22,04:29,13:30,18:45,20:26,21:45
,23-Apr-22,04:27,13:30,18:45,20:28,22:00
,24-Apr-22,04:24,13:30,18:45,20:30,22:00
,25-Apr-22,04:22,13:30,18:45,20:31,22:00
,26-Apr-22,04:20,13:30,18:45,20:33,22:00
,27-Apr-22,04:17,13:30,18:45,20:35,22:00
,28-Apr-22,04:15,13:30,18:45,20:36,22:00
,29-Apr-22,04:13,13:30,18:45,20:38,22:00
,30-Apr-22,04:11,13:30,19:15,20:40,22:00
