Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-May-23,04:45,13:30,18:45,20:26,22:00
,02-May-23,04:45,13:30,18:45,20:28,22:00
,03-May-23,04:45,13:30,18:45,20:30,22:00
,04-May-23,04:45,13:30,18:45,20:31,22:00
,05-May-23,04:45,13:30,18:45,20:33,22:00
,06-May-23,04:30,13:30,19:00,20:34,22:15
,07-May-23,04:30,13:30,19:00,20:36,22:15
,08-May-23,04:30,13:30,19:00,20:38,22:15
,09-May-23,04:30,13:30,19:00,20:39,22:15
,10-May-23,04:30,13:30,19:00,20:41,22:15
,11-May-23,04:30,13:30,19:00,20:43,22:15
,12-May-23,04:30,13:30,19:00,20:44,22:15
,13-May-23,04:15,13:30,19:30,20:45,22:30
,14-May-23,04:15,13:30,19:30,20:47,22:30
,15-May-23,04:15,13:30,19:30,20:48,22:30
,16-May-23,04:15,13:30,19:30,20:50,22:30
,17-May-23,04:15,13:30,19:30,20:51,22:30
,18-May-23,04:15,13:30,19:30,20:53,22:30
,19-May-23,04:15,13:30,19:30,20:54,22:30
,20-May-23,04:15,13:30,19:30,20:56,22:45
,21-May-23,04:15,13:30,19:30,20:57,22:45
,22-May-23,04:15,13:30,19:30,20:59,22:45
,23-May-23,04:15,13:30,19:30,21:00,22:45
,24-May-23,04:15,13:30,19:30,21:01,22:45
,25-May-23,04:15,13:30,19:30,21:03,22:45
,26-May-23,04:15,13:30,19:30,21:04,22:45
,27-May-23,04:00,13:30,19:30,21:05,22:45
,28-May-23,04:00,13:30,19:30,21:06,22:45
,29-May-23,04:00,13:30,19:30,21:07,22:45
,30-May-23,04:00,13:30,19:30,21:09,22:45
,31-May-23,04:00,13:30,19:30,21:10,22:45
