Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jan-22,07:15,13:00,14:45,16:15,19:15
,02-Jan-22,07:15,13:00,14:45,16:17,19:15
,03-Jan-22,07:15,13:00,14:45,16:18,19:15
,04-Jan-22,07:15,13:00,14:45,16:19,19:15
,05-Jan-22,07:15,13:00,14:45,16:20,19:15
,06-Jan-22,07:15,13:00,14:45,16:21,19:15
,07-Jan-22,07:15,12:45,14:45,16:23,19:15
,08-Jan-22,07:15,13:00,15:00,16:24,19:15
,09-Jan-22,07:15,13:00,15:00,16:25,19:15
,10-Jan-22,07:15,13:00,15:00,16:27,19:15
,11-Jan-22,07:15,13:00,15:00,16:28,19:15
,12-Jan-22,07:15,13:00,15:00,16:30,19:15
,13-Jan-22,07:15,13:00,15:00,16:31,19:15
,14-Jan-22,07:15,12:45,15:00,16:33,19:15
,15-Jan-22,07:00,13:00,15:00,16:34,19:15
,16-Jan-22,07:00,13:00,15:00,16:36,19:15
,17-Jan-22,07:00,13:00,15:00,16:37,19:15
,18-Jan-22,07:00,13:00,15:00,16:39,19:15
,19-Jan-22,07:00,13:00,15:00,16:41,19:15
,20-Jan-22,07:00,13:00,15:00,16:42,19:15
,21-Jan-22,07:00,12:45,15:00,16:44,19:15
,22-Jan-22,06:45,13:00,15:15,16:46,19:15
,23-Jan-22,06:45,13:00,15:15,16:47,19:15
,24-Jan-22,06:45,13:00,15:15,16:49,19:15
,25-Jan-22,06:45,13:00,15:15,16:51,19:15
,26-Jan-22,06:45,13:00,15:15,16:53,19:15
,27-Jan-22,06:45,13:00,15:15,16:54,19:15
,28-Jan-22,06:45,12:45,15:15,16:56,19:15
,29-Jan-22,06:30,13:00,15:30,16:58,19:15
,30-Jan-22,06:30,13:00,15:30,17:00,19:15
,31-Jan-22,06:30,13:00,15:30,17:02,19:15
