Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jun-22,03:45,13:30,19:15,21:17,22:50
,02-Jun-22,03:45,13:30,19:15,21:18,22:50
,03-Jun-22,03:45,13:25,19:15,21:19,22:50
,04-Jun-22,03:45,13:30,19:15,21:20,22:50
,05-Jun-22,03:45,13:30,19:15,21:21,22:50
,06-Jun-22,03:45,13:30,19:15,21:21,22:50
,07-Jun-22,03:45,13:30,19:15,21:22,22:50
,08-Jun-22,03:45,13:30,19:15,21:23,22:50
,09-Jun-22,03:45,13:30,19:15,21:24,22:50
,10-Jun-22,03:45,13:25,19:15,21:25,22:50
,11-Jun-22,03:45,13:30,19:15,21:25,22:50
,12-Jun-22,03:45,13:30,19:15,21:26,22:50
,13-Jun-22,03:45,13:30,19:15,21:27,22:50
,14-Jun-22,03:45,13:30,19:15,21:27,22:50
,15-Jun-22,03:45,13:30,19:15,21:28,22:50
,16-Jun-22,03:45,13:30,19:15,21:28,22:50
,17-Jun-22,03:45,13:25,19:15,21:29,22:50
,18-Jun-22,03:45,13:30,19:15,21:29,22:50
,19-Jun-22,03:45,13:30,19:15,21:29,22:50
,20-Jun-22,03:45,13:30,19:15,21:29,22:50
,21-Jun-22,03:45,13:30,19:15,21:30,22:50
,22-Jun-22,03:45,13:30,19:15,21:30,22:50
,23-Jun-22,03:45,13:30,19:15,21:30,22:50
,24-Jun-22,03:45,13:25,19:15,21:30,22:50
,25-Jun-22,03:45,13:30,19:15,21:30,22:50
,26-Jun-22,03:45,13:30,19:15,21:30,22:50
,27-Jun-22,03:45,13:30,19:15,21:30,22:50
,28-Jun-22,03:45,13:30,19:15,21:30,22:50
,29-Jun-22,03:45,13:30,19:15,21:29,22:50
,30-Jun-22,03:45,13:30,19:15,21:29,22:50
