Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jan-23,07:00,13:15,15:00,16:08,19:15
,02-Jan-23,07:00,13:15,15:00,16:09,19:15
,03-Jan-23,07:00,13:15,15:00,16:10,19:15
,04-Jan-23,07:00,13:15,15:00,16:11,19:15
,05-Jan-23,07:00,13:15,15:00,16:13,19:15
,06-Jan-23,07:00,13:15,15:00,16:14,19:15
,07-Jan-23,07:00,13:15,15:00,16:15,19:15
,08-Jan-23,07:00,13:15,15:00,16:16,19:15
,09-Jan-23,07:00,13:15,15:00,16:18,19:15
,10-Jan-23,07:00,13:15,15:00,16:19,19:15
,11-Jan-23,07:00,13:15,15:00,16:21,19:15
,12-Jan-23,07:00,13:15,15:00,16:22,19:15
,13-Jan-23,07:00,13:15,15:00,16:23,19:15
,14-Jan-23,07:00,13:15,15:00,16:25,19:15
,15-Jan-23,07:00,13:15,15:00,16:27,19:15
,16-Jan-23,07:00,13:15,15:00,16:28,19:15
,17-Jan-23,07:00,13:15,15:00,16:30,19:15
,18-Jan-23,07:00,13:15,15:00,16:31,19:15
,19-Jan-23,07:00,13:15,15:00,16:33,19:15
,20-Jan-23,06:45,13:15,15:15,16:35,19:15
,21-Jan-23,06:45,13:15,15:15,16:36,19:15
,22-Jan-23,06:45,13:15,15:15,16:38,19:15
,23-Jan-23,06:45,13:15,15:15,16:40,19:15
,24-Jan-23,06:45,13:15,15:15,16:41,19:15
,25-Jan-23,06:45,13:15,15:15,16:43,19:15
,26-Jan-23,06:45,13:15,15:15,16:45,19:15
,27-Jan-23,06:45,13:15,15:30,16:47,19:15
,28-Jan-23,06:45,13:15,15:00,16:48,19:15
,29-Jan-23,06:45,13:15,15:30,16:50,19:15
,30-Jan-23,06:45,13:15,15:30,16:52,19:15
,31-Jan-23,06:45,13:15,15:30,16:54,19:15
