Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jun-23,03:45,13:30,19:30,21:17,22:45
,02-Jun-23,03:35,13:30,19:30,21:18,22:45
,03-Jun-23,03:45,13:30,19:30,21:19,22:45
,04-Jun-23,03:45,13:30,19:30,21:20,22:45
,05-Jun-23,03:45,13:30,19:30,21:21,22:45
,06-Jun-23,03:45,13:30,19:30,21:22,22:45
,07-Jun-23,03:45,13:30,19:30,21:22,22:45
,08-Jun-23,03:45,13:30,19:30,21:23,22:45
,09-Jun-23,03:45,13:30,19:30,21:25,22:50
,10-Jun-23,03:45,13:30,19:30,21:25,22:50
,11-Jun-23,03:45,13:30,19:30,21:26,22:50
,12-Jun-23,03:45,13:30,19:30,21:27,22:50
,13-Jun-23,03:45,13:30,19:30,21:27,22:50
,14-Jun-23,03:45,13:30,19:30,21:28,22:50
,15-Jun-23,03:45,13:30,19:30,21:28,22:50
,16-Jun-23,03:45,13:30,19:30,21:28,22:50
,17-Jun-23,03:45,13:30,19:30,21:29,22:50
,18-Jun-23,03:45,13:30,19:30,21:29,22:50
,19-Jun-23,03:45,13:30,19:30,21:29,22:50
,20-Jun-23,03:45,13:30,19:30,21:30,22:50
,21-Jun-23,03:45,13:30,19:30,21:30,22:50
,22-Jun-23,03:45,13:30,19:30,21:30,22:50
,23-Jun-23,03:45,13:30,19:30,21:30,22:50
,24-Jun-23,03:45,13:30,19:30,21:30,22:50
,25-Jun-23,03:45,13:30,19:30,21:30,22:50
,26-Jun-23,03:45,13:30,19:30,21:30,22:50
,27-Jun-23,03:45,13:30,19:30,21:29,22:50
,28-Jun-23,03:45,13:30,19:30,21:29,22:50
,29-Jun-23,03:45,13:30,19:30,21:29,22:50
,30-Jun-23,03:45,13:30,19:30,21:29,22:50
