Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jul-22,04:00,13:30,19:30,21:29,22:55
,02-Jul-22,04:15,13:30,19:30,21:29,22:55
,03-Jul-22,04:15,13:30,19:30,21:28,22:55
,04-Jul-22,04:15,13:30,19:30,21:28,22:55
,05-Jul-22,04:15,13:30,19:30,21:27,22:55
,06-Jul-22,04:15,13:30,19:30,21:27,22:55
,07-Jul-22,04:15,13:30,19:30,21:26,22:55
,08-Jul-22,04:15,13:30,19:30,21:25,22:55
,09-Jul-22,04:15,13:30,19:30,21:25,22:50
,10-Jul-22,04:15,13:30,19:30,21:24,22:50
,11-Jul-22,04:15,13:30,19:30,21:23,22:50
,12-Jul-22,04:15,13:30,19:30,21:22,22:50
,13-Jul-22,04:15,13:30,19:30,21:21,22:50
,14-Jul-22,04:15,13:30,19:30,21:20,22:50
,15-Jul-22,04:15,13:30,19:30,21:19,22:50
,16-Jul-22,04:15,13:30,19:30,21:18,22:40
,17-Jul-22,04:15,13:30,19:30,21:17,22:40
,18-Jul-22,04:15,13:30,19:30,21:16,22:40
,19-Jul-22,04:15,13:30,19:30,21:15,22:40
,20-Jul-22,04:15,13:30,19:30,21:14,22:40
,21-Jul-22,04:15,13:30,19:30,21:12,22:40
,22-Jul-22,04:15,13:30,19:30,21:11,22:40
,23-Jul-22,04:30,13:30,19:15,21:10,22:40
,24-Jul-22,04:30,13:30,19:15,21:10,22:40
,25-Jul-22,04:30,13:30,19:15,21:07,22:40
,26-Jul-22,04:30,13:30,19:15,21:06,22:40
,27-Jul-22,04:30,13:30,19:15,21:04,22:40
,28-Jul-22,04:30,13:30,19:15,21:03,22:40
,29-Jul-22,04:30,13:30,19:15,21:01,22:40
,30-Jul-22,04:45,13:30,19:00,21:00,22:25
,31-Jul-22,04:45,13:30,19:00,20:58,22:25
