Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Sep-22,05:30,13:30,18:30,19:53,21:30
,02-Sep-22,05:30,13:30,18:30,19:50,21:30
,03-Sep-22,05:40,13:30,18:15,19:48,21:15
,04-Sep-22,05:40,13:30,18:15,19:46,21:15
,05-Sep-22,05:40,13:30,18:15,19:44,21:15
,06-Sep-22,05:40,13:30,18:15,19:41,21:15
,07-Sep-22,05:40,13:30,18:15,19:39,21:15
,08-Sep-22,05:40,13:30,18:15,19:37,21:15
,09-Sep-22,05:50,13:30,18:00,19:34,21:15
,10-Sep-22,05:50,13:30,18:00,19:32,21:15
,11-Sep-22,05:50,13:30,18:00,19:30,21:00
,12-Sep-22,05:50,13:30,18:00,19:28,21:00
,13-Sep-22,05:50,13:30,18:00,19:25,21:00
,14-Sep-22,05:50,13:30,18:00,19:23,21:00
,15-Sep-22,06:00,13:30,17:45,19:21,21:00
,16-Sep-22,06:00,13:30,17:45,19:18,21:00
,17-Sep-22,06:00,13:30,17:45,19:16,20:45
,18-Sep-22,06:00,13:30,17:45,19:14,20:45
,19-Sep-22,06:00,13:30,17:45,19:11,20:45
,20-Sep-22,06:00,13:30,17:45,19:09,20:45
,21-Sep-22,06:00,13:30,17:45,19:07,20:45
,22-Sep-22,06:10,13:30,17:30,19:05,20:30
,23-Sep-22,06:10,13:30,17:30,19:02,20:30
,24-Sep-22,06:10,13:30,17:30,19:00,20:30
,25-Sep-22,06:10,13:30,17:30,18:58,20:30
,26-Sep-22,06:10,13:30,17:30,18:55,20:30
,27-Sep-22,06:10,13:30,17:30,18:53,20:30
,28-Sep-22,06:20,13:30,17:30,18:51,20:30
,29-Sep-22,06:20,13:30,17:30,18:48,20:30
,30-Sep-22,06:20,13:30,17:00,18:46,20:15
