Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jan-23,07:15,13:00,15:00,16:10,19:45
,02-Jan-23,07:15,13:00,15:00,16:11,19:45
,03-Jan-23,07:15,13:00,15:00,16:12,19:45
,04-Jan-23,07:15,13:00,15:00,16:13,19:45
,05-Jan-23,07:15,13:00,15:00,16:15,19:45
,06-Jan-23,07:15,13:00,15:00,16:16,19:45
,07-Jan-23,07:15,13:00,15:00,16:17,19:45
,08-Jan-23,07:15,13:00,15:00,16:18,19:45
,09-Jan-23,07:15,13:00,15:00,16:20,19:45
,10-Jan-23,07:15,13:00,15:00,16:21,19:45
,11-Jan-23,07:15,13:00,15:00,16:23,19:45
,12-Jan-23,07:15,13:00,15:00,16:24,19:45
,13-Jan-23,07:15,13:00,15:00,16:25,19:45
,14-Jan-23,07:00,13:15,15:15,16:27,19:45
,15-Jan-23,07:00,13:15,15:15,16:29,19:45
,16-Jan-23,07:00,13:15,15:15,16:30,19:45
,17-Jan-23,07:00,13:15,15:15,16:32,19:45
,18-Jan-23,07:00,13:15,15:15,16:33,19:45
,19-Jan-23,07:00,13:15,15:15,16:35,19:45
,20-Jan-23,07:00,13:15,15:15,16:37,19:45
,21-Jan-23,07:00,13:15,15:30,16:38,19:45
,22-Jan-23,07:00,13:15,15:30,16:40,19:45
,23-Jan-23,07:00,13:15,15:30,16:42,19:45
,24-Jan-23,07:00,13:15,15:30,16:43,19:45
,25-Jan-23,07:00,13:15,15:30,16:45,19:45
,26-Jan-23,07:00,13:15,15:30,16:47,19:45
,27-Jan-23,07:00,13:15,15:30,16:49,19:45
,28-Jan-23,07:00,13:15,15:45,16:50,19:45
,29-Jan-23,07:00,13:15,15:45,16:52,19:45
,30-Jan-23,07:00,13:15,15:45,16:54,19:45
,31-Jan-23,07:00,13:15,15:45,16:56,19:45
