Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-22,06:00,13:15,16:30,17:48,19:30
,02-Mar-22,06:00,13:15,16:30,17:50,19:30
,03-Mar-22,06:00,13:15,16:30,17:52,19:30
,04-Mar-22,06:00,13:15,16:30,17:53,19:30
,05-Mar-22,06:00,13:15,16:30,17:55,19:30
,06-Mar-22,06:00,13:15,16:30,17:57,19:30
,07-Mar-22,05:45,13:15,16:30,17:59,19:45
,08-Mar-22,05:45,13:15,16:30,18:00,19:45
,09-Mar-22,05:45,13:15,16:30,18:02,19:45
,10-Mar-22,05:45,13:15,16:30,18:04,19:45
,11-Mar-22,05:45,13:15,16:30,18:06,19:45
,12-Mar-22,05:45,13:15,16:30,18:07,19:45
,13-Mar-22,05:45,13:15,16:30,18:09,19:45
,14-Mar-22,05:30,13:15,16:45,18:11,20:00
,15-Mar-22,05:30,13:15,16:45,18:12,20:00
,16-Mar-22,05:30,13:15,16:45,18:14,20:00
,17-Mar-22,05:30,13:15,16:45,18:16,20:00
,18-Mar-22,05:30,13:15,16:45,18:18,20:00
,19-Mar-22,05:30,13:15,16:45,18:19,20:00
,20-Mar-22,05:30,13:15,16:45,18:21,20:00
,21-Mar-22,05:15,13:15,16:45,18:23,20:15
,22-Mar-22,05:15,13:15,16:45,18:24,20:15
,23-Mar-22,05:15,13:15,16:45,18:26,20:15
,24-Mar-22,05:15,13:15,16:45,18:28,20:15
,25-Mar-22,05:15,13:15,16:45,18:29,20:15
,26-Mar-22,05:15,13:15,16:45,18:31,20:15
,27-Mar-22,06:00,13:30,18:00,19:33,21:15
,28-Mar-22,06:00,13:30,18:00,19:34,21:15
,29-Mar-22,06:00,13:30,18:00,19:36,21:15
,30-Mar-22,06:00,13:30,18:00,19:38,21:15
,31-Mar-22,06:00,13:30,18:00,19:39,21:15
